"-6.8699697,-75.0458515","('Peru', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"24.7736546,-78.0000547","('The Bahamas', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"19.0974031,-70.3028026","('The Dominican Republic', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"-10.3333333,-53.2","('Brazil', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html'])"
"64.9841821,-18.1059013","('Iceland', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"-34.9964963,-64.9672817","('Argentina', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/'])"
"14.8971921,100.83273","('Thailand', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.bbc.com/news/world-europe-57418141', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html'])"
"51.2086975,89.2343748","('Southeast Asia', ['https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/'])"
"-30.29284845,153.12561585745573","('Central America', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/'])"
"-17.0568696,-64.9912286","('Bolivia', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"-41.5000831,172.8344077","('New Zealand', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.cbsnews.com/news/anom-app-fbi-criminals-trojan-shield/'])"
"-24.7761086,134.755","('Australia', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.cbsnews.com/news/gamestop-amazon-new-ceo/', 'https://www.cbsnews.com/news/anom-app-fbi-criminals-trojan-shield/', 'https://www.bbc.com/news/world-49434667', 'http://cnn.com/2021/06/09/tech/gamestop-new-ceo-cfo/index.html', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html', 'http://cnn.com/2021/06/09/business/jbs-cyberattack-11-million/index.html'])"
"51.0834196,10.4234469","('Germany', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.washingtonpost.com/world/europe/g7-2021-boris-johnson/2021/06/09/ab712c2a-c7cd-11eb-8708-64991f2acf28_story.html', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.com/news/world-49434667', 'https://www.bbc.com/news/uk-57406029', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519', 'http://www.bbc.com/news/uk-57406029', 'http://cnn.com/2021/06/09/entertainment/david-hasselhoff-germany-vaccination-campaign-scli-intl-grm/index.html', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html'])"
"-31.7613365,-71.3187697","('Chile', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/'])"
"31.1728205,-7.3362482","('Morocco', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"31.5313113,34.8667654","('Israel', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.washingtonpost.com/world/2021/06/09/israeli-east-jerusalem-sheikh-jarrah-palestinians-detained/'])"
"52.3800847,16.984005","('Bitcoin', ['https://www.cbsnews.com/news/bitcoin-el-salvador-legal-tender/'])"
"13.8000382,-88.9140683","('El Salvador', ['https://www.cbsnews.com/news/bitcoin-el-salvador-legal-tender/', 'http://cnn.com/2021/06/09/investing/premarket-stocks-trading/index.html'])"
"51.973901749999996,8.500016314944176","(""El Salvador's"", ['https://www.cbsnews.com/news/bitcoin-el-salvador-legal-tender/'])"
"50.6737873,9.3505346","('REUTERS', ['https://www.cbsnews.com/news/mount-recyclemore-sculpture-g7-cornwall-uk-biden-other-leaders-e-waste/'])"
"52.5310214,-1.2649062","('England', ['https://www.cbsnews.com/news/mount-recyclemore-sculpture-g7-cornwall-uk-biden-other-leaders-e-waste/', 'https://www.cbsnews.com/news/prince-harry-meghan-markle-daughter-lilibet-queen-report/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.washingtonpost.com/sports/2021/06/09/euro-2020-covid/', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519'])"
"51.5073219,-0.1276474","('London', ['https://www.cbsnews.com/news/mount-recyclemore-sculpture-g7-cornwall-uk-biden-other-leaders-e-waste/', 'https://www.cbsnews.com/news/prince-harry-meghan-markle-daughter-lilibet-queen-report/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.bbc.com/news/world-49434667', 'http://cnn.com/2021/06/09/investing/premarket-stocks-trading/index.html'])"
"50.1970953,-5.4637047","('Carbis Bay', ['https://www.cbsnews.com/news/mount-recyclemore-sculpture-g7-cornwall-uk-biden-other-leaders-e-waste/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.bbc.com/news/uk-57406029', 'http://www.bbc.com/news/uk-57406029'])"
"33.5696629,36.4012933","('Duma', ['https://www.cbsnews.com/news/putin-critic-dmitry-gudkov-flees-russia/'])"
"50.4500336,30.5241361","('Kyiv', ['https://www.cbsnews.com/news/putin-critic-dmitry-gudkov-flees-russia/'])"
"55.7628614,37.6532293","('Moscow City', ['https://www.cbsnews.com/news/putin-critic-dmitry-gudkov-flees-russia/'])"
"42.6073975,25.4856617","('Bulgaria', ['https://www.cbsnews.com/news/putin-critic-dmitry-gudkov-flees-russia/'])"
"34.4221319,-119.7026673","('SANTA BARBARA', ['https://www.nytimes.com/2021/06/09/sports/tennis-sexual-abuse.html'])"
"42.7006303,-74.924321","('Cooperstown', ['https://www.cbsnews.com/news/baseball-hall-of-fame-postpones-induction-fans/'])"
"51.7984327,0.8294220255488827","('Brooklyn Borough', ['https://www.cbsnews.com/news/new-york-city-mayor-debate-how-to-watch/'])"
"40.7498243,-73.7976337","('Queens', ['https://www.cbsnews.com/news/new-york-city-mayor-debate-how-to-watch/'])"
"40.6501038,-73.9495823","('Brooklyn', ['https://www.cbsnews.com/news/new-york-city-mayor-debate-how-to-watch/', 'https://www.cbsnews.com/news/el-chapo-wife-expected-guilty-plea-emma-coronel-aispuro/', 'https://www.nytimes.com/2021/06/09/nyregion/eric-adams-maya-wiley-endorsement-jumaane.html', 'https://www.bbc.com/news/world-us-canada-57422026', 'http://www.bbc.com/news/world-us-canada-57422026'])"
